pathloss,doppler shift,label
-23.26500584,3.722180308,NA
-16.48265544,1.153438667,NA
-14.82464151,0.859113001,NA
-18.5089771,-1.653258221,NA
-12.48151495,1.505039981,LA
-27.09008956,0.486157113,LA
-5.284021676,0.197787861,LA
-0.684448058,4.81943053,LA
-5.098202979,0.16250237,LA
6.507461082,0.391654454,LA
6.333250938,0.658677085,LA
2.156474459,1.237736254,LA
4.409185675,0.258240143,LA
4.364239139,1.837740449,LA
2.18855426,2.643207411,LA
-13.73467671,-0.018895153,LA
12.98243608,2.449326393,LA
-13.29808388,3.281652289,LA
-7.531498174,3.214397498,LA
-1.493706469,1.296484479,LA
-4.228016612,1.925026472,LA
-0.531215022,7.908718597,LA
-11.59951059,2.567301347,LA
2.062217281,8.316392399,LA
-17.77511184,3.329955657,LA
-0.460802709,2.074585004,LA
-0.244456071,3.139563901,LA
2.30057486,2.657760525,LA
-13.07039537,1.91926397,LA
-6.832305688,6.740591349,LA
3.353117627,4.998367911,LA
-2.356727899,4.452084193,LA
-3.571331099,3.843266087,LA
-4.475500034,4.589305381,LA
-1.949079547,2.695557069,LA
-0.683138275,2.555111394,LA
-0.457281073,2.281529818,LA
-2.513485127,4.310073587,LA
-5.163934997,2.012259315,LA
-4.400809466,1.46755242,LA
-0.289747976,1.671149682,LA
1.616161814,6.644933367,LA
-4.694534285,1.462032169,LA
-2.219328116,1.513371005,LA
-4.684937435,1.697864769,LA
3.109808508,1.917551189,LA
-2.236274111,1.94929574,LA
-8.069687807,3.211671383,LA
-3.627032709,1.274578131,LA
-5.494111008,3.426906262,LA
-16.8124044,1.608188228,LA
-16.54612261,1.925234409,LA
-5.520491589,2.390031251,LA
2.956629457,1.444458476,LA
7.282221239,2.487089995,LA
10.92261792,0.812818561,LA
3.461157277,2.723096051,LA
0.399260483,3.160898614,NA
3.559121436,2.760928712,NA
8.812107753,1.695385415,NA
-2.43135186,2.689091779,NA
2.268193805,1.274373113,NA
2.489286586,2.09764376,NA
1.567932458,1.811806848,NA
-0.935807195,5.014150582,NA
1.707475289,6.686835751,NA
